shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
21,41.325684,-73.4338,25,
21,41.376225,-73.418171,26,
21,41.396363,-73.450163,27,
22,41.046611,-73.542846,1,
22,41.178677,-73.187076,2,
22,41.194255,-73.131532,3,
22,41.319718,-73.083548,4,
22,41.340272,-73.078609,5,
22,41.395139,-73.072499,6,
22,41.441752,-73.063590,7,
22,41.494204,-73.052655,8,
22,41.552728,-73.046126,9,
23,40.903981,-73.914126,1,
23,40.903981,-73.914126,2,
23,40.901731,-73.906134,3,
23,40.904156,-73.905008,4,
23,40.906450,-73.906735,5,
23,40.906880,-73.904096,6,
23,40.905485,-73.900716,7,
23,40.905112,-73.896435,8,
23,40.907521,-73.896543,9,
23,40.910221,-73.896629,10,
23,40.910148,-73.903216,11,
23,40.912483,-73.902583,12,
25,41.296501,-72.928290,1,
25,41.296501,-72.928290,2,
25,41.304979,-72.921747,3,
25,41.304979,-72.921747,4,
25,41.274589,-72.817265,5,
25,41.275839,-72.673638,6,
25,41.283676,-72.599545,7,
25,41.2795,-72.528305,8,
25,41.288787,-72.448450,9,
25,41.300395,-72.376792,10,
25,41.354222,-72.093229,11,
27,41.157663,-73.869281,1,
27,41.157663,-73.869281,2,
27,41.192009,-73.959017,3,
29,40.878245,-73.921455,1,
29,40.878245,-73.921455,2,
29,40.879135,-73.916842,3,
29,40.881049,-73.919170,4,
29,40.881836,-73.917936,5,
29,40.884732,-73.914546,6,
29,40.886127,-73.9124,7,
29,40.887011,-73.911842,8,
29,40.889769,-73.912894,9,
29,40.880465,-73.910544,10,
29,40.885908,-73.906993,11,
29,40.889136,-73.908377,12,
29,40.893613,-73.907969,13,
31,41.504007,-73.984528,1,
31,41.504007,-73.984528,2,
31,41.500896,-74.005419,3,
34,40.752998,-73.977056,1,
34,40.805157,-73.939149,2,
34,40.8615,-73.890580,3,
34,40.912161,-73.832185,4,
34,40.910321,-73.810242,5,
34,40.911605,-73.783807,6,
34,40.933394,-73.759792,7,
34,40.954061,-73.736125,8,
34,40.969432,-73.712964,9,
34,40.986027,-73.680461,10,
34,41.000732,-73.6647,11,
34,41.021277,-73.624621,12,
34,41.030171,-73.598306,13,
34,41.031682,-73.588173,14,
34,41.033817,-73.565859,15,
34,41.046611,-73.542846,16,
34,41.069041,-73.497880,17,
34,41.076913,-73.472966,18,
34,41.077456,-73.445527,19,
34,41.096730,-73.421132,20,
34,41.143382,-73.427917,21,
34,41.196202,-73.432434,22,
34,41.216620,-73.426703,23,
34,41.267630,-73.441421,24,
34,41.325684,-73.4338,25,
34,41.376225,-73.418171,26,
34,41.396363,-73.450163,27,
35,41.296501,-72.928290,1,
35,41.304979,-72.921747,2,
35,41.274589,-72.817265,3,
35,41.275839,-72.673638,4,
35,41.283676,-72.599545,5,
35,41.2795,-72.528305,6,
35,41.288787,-72.448450,7,
35,41.300395,-72.376792,8,
35,41.354222,-72.093229,9,
37,40.878245,-73.921455,1,
37,40.879135,-73.916842,2,
37,40.881049,-73.919170,3,
37,40.881836,-73.917936,4,
37,40.884732,-73.914546,5,
37,40.886127,-73.9124,6,
37,40.887011,-73.911842,7,
37,40.889769,-73.912894,8,
37,40.880465,-73.910544,9,
37,40.885908,-73.906993,10,
37,40.889136,-73.908377,11,
37,40.893613,-73.907969,12,
39,40.903981,-73.914126,1,
39,40.901731,-73.906134,2,
39,40.904156,-73.905008,3,
39,40.906450,-73.906735,4,
39,40.906880,-73.904096,5,
39,40.905485,-73.900716,6,
39,40.905112,-73.896435,7,
39,40.907521,-73.896543,8,
39,40.910221,-73.896629,9,
39,40.910148,-73.903216,10,
39,40.912483,-73.902583,11,
41,41.504007,-73.984528,1,
41,41.500896,-74.005419,2,
43,41.157663,-73.869281,1,
43,41.192009,-73.959017,2,
46,40.752998,-73.977056,1,
46,40.805157,-73.939149,2,
46,40.8615,-73.890580,3,
46,40.912161,-73.832185,4,
46,40.910321,-73.810242,5,
46,40.911605,-73.783807,6,
46,40.933394,-73.759792,7,
46,40.954061,-73.736125,8,
46,40.969432,-73.712964,9,
46,40.986027,-73.680461,10,
46,41.000732,-73.6647,11,
46,41.021277,-73.624621,12,
46,41.030171,-73.598306,13,
46,41.031682,-73.588173,14,
46,41.033817,-73.565859,15,
46,41.046611,-73.542846,16,
46,41.069041,-73.497880,17,
46,41.076913,-73.472966,18,
46,41.077456,-73.445527,19,
46,41.096730,-73.421132,20,
46,41.103996,-73.404588,21,
46,41.118928,-73.371413,22,
46,41.122265,-73.315408,23,
46,41.134844,-73.288970,24,
46,41.143077,-73.257742,25,
46,41.178677,-73.187076,26,
46,41.194255,-73.131532,27,
46,41.223231,-73.057647,28,
46,41.296501,-72.928290,29,
46,41.304979,-72.921747,30,
48,41.046611,-73.542846,1,
48,41.178677,-73.187076,2,
48,41.194255,-73.131532,3,
48,41.319718,-73.083548,4,
48,41.340272,-73.078609,5,
48,41.395139,-73.072499,6,
48,41.441752,-73.063590,7,
48,41.494204,-73.052655,8,
48,41.552728,-73.046126,9,
50,40.752998,-73.977056,1,
50,40.805157,-73.939149,2,
50,40.8615,-73.890580,3,
50,40.912161,-73.832185,4,
50,40.910321,-73.810242,5,
50,40.911605,-73.783807,6,
50,40.933394,-73.759792,7,
50,40.954061,-73.736125,8,
50,40.969432,-73.712964,9,
50,40.986027,-73.680461,10,
50,41.000732,-73.6647,11,
50,41.021277,-73.624621,12,
50,41.030171,-73.598306,13,
50,41.031682,-73.588173,14,
50,41.033817,-73.565859,15,
50,41.046611,-73.542846,16,
50,41.070547,-73.520021,17,
50,41.088760,-73.517828,18,
50,41.116012,-73.498149,19,
50,41.146305,-73.495626,20,
52,41.413203,-73.623787,1,
52,41.511827,-73.604584,2,
52,41.564205,-73.600524,3,
52,41.637525,-73.571450,4,
52,41.740401,-73.576502,5,
52,41.779938,-73.558204,6,
52,41.821579,-73.563583,7,
1,41.705839,-73.937946,1,
1,41.587448,-73.947226,2,
1,41.504007,-73.984528,3,
1,41.450181,-73.982449,4,
1,41.415283,-73.958090,5,
1,41.381780,-73.947202,6,
1,41.332601,-73.970426,7,
1,41.285962,-73.930420,8,
1,41.246259,-73.921884,9,
1,41.189903,-73.882394,10,
1,41.157663,-73.869281,11,
1,41.135763,-73.866163,12,
1,41.094920,-73.869755,13,
1,41.076473,-73.864563,14,
1,41.039993,-73.873083,15,
1,41.026198,-73.876543,16,
1,41.012459,-73.879490,17,
1,40.994109,-73.884512,18,
1,40.971040,-73.889989,19,
1,40.950496,-73.899062,20,
1,40.935795,-73.902668,21,
1,40.924972,-73.904612,22,
1,40.903981,-73.914126,23,
1,40.878245,-73.921455,24,
1,40.874333,-73.910941,25,
1,40.862248,-73.913120,26,
1,40.854252,-73.919583,27,
1,40.8253,-73.9299,28,
1,40.805157,-73.939149,29,
1,40.752998,-73.977056,30,
2,41.705839,-73.937946,1,
2,41.587448,-73.947226,2,
2,41.504007,-73.984528,3,
2,41.450181,-73.982449,4,
2,41.415283,-73.958090,5,
2,41.381780,-73.947202,6,
2,41.332601,-73.970426,7,
2,41.285962,-73.930420,8,
2,41.246259,-73.921884,9,
2,41.189903,-73.882394,10,
2,41.157663,-73.869281,11,
2,41.135763,-73.866163,12,
2,41.094920,-73.869755,13,
2,41.076473,-73.864563,14,
2,41.039993,-73.873083,15,
2,41.026198,-73.876543,16,
2,41.012459,-73.879490,17,
2,40.994109,-73.884512,18,
2,40.971040,-73.889989,19,
2,40.950496,-73.899062,20,
2,40.935795,-73.902668,21,
2,40.924972,-73.904612,22,
2,40.903981,-73.914126,23,
2,40.878245,-73.921455,24,
2,40.874333,-73.910941,25,
2,40.862248,-73.913120,26,
2,40.854252,-73.919583,27,
2,40.8253,-73.9299,28,
2,40.805157,-73.939149,29,
2,40.752998,-73.977056,30,
3,41.821579,-73.563583,1,
3,41.779938,-73.558204,2,
3,41.740401,-73.576502,3,
3,41.637525,-73.571450,4,
3,41.610810,-73.578710,5,
3,41.564205,-73.600524,6,
3,41.511827,-73.604584,7,
3,41.413203,-73.623787,8,
3,41.394470,-73.619802,9,
3,41.347722,-73.662269,10,
3,41.325775,-73.659061,11,
3,41.294338,-73.677655,12,
3,41.259552,-73.684155,13,
3,41.237316,-73.699936,14,
3,41.208242,-73.729778,15,
3,41.158015,-73.774885,16,
3,41.135222,-73.792661,17,
3,41.108581,-73.796250,18,
3,41.095877,-73.793822,19,
3,41.072819,-73.772599,20,
3,41.049806,-73.773142,21,
3,41.032589,-73.775208,22,
3,41.010333,-73.796407,23,
3,40.989168,-73.808634,24,
3,40.958997,-73.820564,25,
3,40.949393,-73.830166,26,
3,40.939780,-73.835208,27,
3,40.926990,-73.839480,28,
3,40.912142,-73.851129,29,
3,40.905424,-73.854665,30,
3,40.895361,-73.862916,31,
3,40.878569,-73.871064,32,
3,40.866555,-73.883109,33,
3,40.8615,-73.890580,34,
3,40.847301,-73.899550,35,
3,40.825761,-73.915231,36,
3,40.805157,-73.939149,37,
3,40.752998,-73.977056,38,
4,41.821579,-73.563583,1,
4,41.779938,-73.558204,2,
4,41.740401,-73.576502,3,
4,41.637525,-73.571450,4,
4,41.610810,-73.578710,5,
4,41.564205,-73.600524,6,
4,41.511827,-73.604584,7,
4,41.413203,-73.623787,8,
4,41.394470,-73.619802,9,
4,41.347722,-73.662269,10,
4,41.325775,-73.659061,11,
4,41.294338,-73.677655,12,
4,41.259552,-73.684155,13,
4,41.237316,-73.699936,14,
4,41.208242,-73.729778,15,
4,41.158015,-73.774885,16,
4,41.135222,-73.792661,17,
4,41.108581,-73.796250,18,
4,41.095877,-73.793822,19,
4,41.072819,-73.772599,20,
4,41.049806,-73.773142,21,
4,41.032589,-73.775208,22,
4,41.010333,-73.796407,23,
4,40.989168,-73.808634,24,
4,40.958997,-73.820564,25,
4,40.949393,-73.830166,26,
4,40.939780,-73.835208,27,
4,40.926990,-73.839480,28,
4,40.912142,-73.851129,29,
4,40.905424,-73.854665,30,
4,40.895361,-73.862916,31,
4,40.878569,-73.871064,32,
4,40.866555,-73.883109,33,
4,40.8615,-73.890580,34,
4,40.847301,-73.899550,35,
4,40.825761,-73.915231,36,
4,40.8253,-73.9299,37,
5,41.304979,-72.921747,1,
5,41.296501,-72.928290,2,
5,41.223231,-73.057647,3,
5,41.194255,-73.131532,4,
5,41.178677,-73.187076,5,
5,41.1610,-73.234336,6,
5,41.143077,-73.257742,7,
5,41.134844,-73.288970,8,
5,41.122265,-73.315408,9,
5,41.118928,-73.371413,10,
5,41.103996,-73.404588,11,
5,41.096730,-73.421132,12,
5,41.077456,-73.445527,13,
5,41.076913,-73.472966,14,
5,41.069041,-73.497880,15,
5,41.046611,-73.542846,16,
5,41.033817,-73.565859,17,
5,41.031682,-73.588173,18,
5,41.030171,-73.598306,19,
5,41.021277,-73.624621,20,
5,41.000732,-73.6647,21,
5,40.986027,-73.680461,22,
5,40.969432,-73.712964,23,
5,40.954061,-73.736125,24,
5,40.933394,-73.759792,25,
5,40.911605,-73.783807,26,
5,40.910321,-73.810242,27,
5,40.912161,-73.832185,28,
5,40.8615,-73.890580,29,
5,40.805157,-73.939149,30,
5,40.752998,-73.977056,31,
6,41.304979,-72.921747,1,
6,41.296501,-72.928290,2,
6,41.223231,-73.057647,3,
6,41.194255,-73.131532,4,
6,41.178677,-73.187076,5,
6,41.143077,-73.257742,6,
6,41.134844,-73.288970,7,
6,41.122265,-73.315408,8,
6,41.118928,-73.371413,9,
6,41.103996,-73.404588,10,
6,41.096730,-73.421132,11,
6,41.077456,-73.445527,12,
6,41.076913,-73.472966,13,
6,41.069041,-73.497880,14,
6,41.046611,-73.542846,15,
6,41.033817,-73.565859,16,
6,41.031682,-73.588173,17,
6,41.030171,-73.598306,18,
6,41.021277,-73.624621,19,
6,41.000732,-73.6647,20,
6,40.986027,-73.680461,21,
6,40.969432,-73.712964,22,
6,40.954061,-73.736125,23,
6,40.933394,-73.759792,24,
6,40.911605,-73.783807,25,
6,40.910321,-73.810242,26,
6,40.912161,-73.832185,27,
6,40.8615,-73.890580,28,
6,40.8253,-73.9299,29,
7,41.304979,-72.921747,1,
7,41.296501,-72.928290,2,
7,41.223231,-73.057647,3,
7,41.194255,-73.131532,4,
7,41.178677,-73.187076,5,
7,41.143077,-73.257742,6,
7,41.134844,-73.288970,7,
7,41.122265,-73.315408,8,
7,41.118928,-73.371413,9,
7,41.103996,-73.404588,10,
7,41.096730,-73.421132,11,
7,41.077456,-73.445527,12,
7,41.076913,-73.472966,13,
7,41.069041,-73.497880,14,
7,41.046611,-73.542846,15,
7,41.033817,-73.565859,16,
7,41.031682,-73.588173,17,
7,41.030171,-73.598306,18,
7,41.021277,-73.624621,19,
7,41.000732,-73.6647,20,
7,40.986027,-73.680461,21,
7,40.969432,-73.712964,22,
7,40.954061,-73.736125,23,
7,40.933394,-73.759792,24,
7,40.911605,-73.783807,25,
8,41.146305,-73.495626,1,
8,41.116012,-73.498149,2,
8,41.088760,-73.517828,3,
8,41.070547,-73.520021,4,
8,41.046611,-73.542846,5,
8,41.033817,-73.565859,6,
8,41.031682,-73.588173,7,
8,41.030171,-73.598306,8,
8,41.021277,-73.624621,9,
8,41.000732,-73.6647,10,
8,40.986027,-73.680461,11,
8,40.969432,-73.712964,12,
8,40.954061,-73.736125,13,
8,40.933394,-73.759792,14,
8,40.911605,-73.783807,15,
8,40.910321,-73.810242,16,
8,40.912161,-73.832185,17,
8,40.8615,-73.890580,18,
8,40.805157,-73.939149,19,
8,40.752998,-73.977056,20,
9,41.146305,-73.495626,1,
9,41.116012,-73.498149,2,
9,41.088760,-73.517828,3,
9,41.070547,-73.520021,4,
9,41.046611,-73.542846,5,
9,41.033817,-73.565859,6,
9,41.031682,-73.588173,7,
9,41.030171,-73.598306,8,
9,41.021277,-73.624621,9,
9,41.000732,-73.6647,10,
9,40.986027,-73.680461,11,
9,40.969432,-73.712964,12,
9,40.954061,-73.736125,13,
9,40.933394,-73.759792,14,
9,40.911605,-73.783807,15,
9,40.910321,-73.810242,16,
9,40.912161,-73.832185,17,
9,40.8615,-73.890580,18,
9,40.8253,-73.9299,19,
10,41.396363,-73.450163,1,
10,41.376225,-73.418171,2,
10,41.325684,-73.4338,3,
10,41.267630,-73.441421,4,
10,41.216620,-73.426703,5,
10,41.196202,-73.432434,6,
10,41.143382,-73.427917,7,
10,41.096730,-73.421132,8,
10,41.077456,-73.445527,9,
10,41.076913,-73.472966,10,
10,41.069041,-73.497880,11,
10,41.046611,-73.542846,12,
10,41.033817,-73.565859,13,
10,41.031682,-73.588173,14,
10,41.030171,-73.598306,15,
10,41.021277,-73.624621,16,
10,41.000732,-73.6647,17,
10,40.986027,-73.680461,18,
10,40.969432,-73.712964,19,
10,40.954061,-73.736125,20,
10,40.933394,-73.759792,21,
10,40.911605,-73.783807,22,
10,40.910321,-73.810242,23,
10,40.912161,-73.832185,24,
10,40.8615,-73.890580,25,
10,40.805157,-73.939149,26,
10,40.752998,-73.977056,27,
11,41.552728,-73.046126,1,
11,41.494204,-73.052655,2,
11,41.441752,-73.063590,3,
11,41.395139,-73.072499,4,
11,41.340272,-73.078609,5,
11,41.319718,-73.083548,6,
11,41.194255,-73.131532,7,
11,41.178677,-73.187076,8,
11,41.046611,-73.542846,9,
24,40.912483,-73.902583,1,
24,40.910148,-73.903216,2,
24,40.910221,-73.896629,3,
24,40.907521,-73.896543,4,
24,40.905112,-73.896435,5,
24,40.905485,-73.900716,6,
24,40.906880,-73.904096,7,
24,40.906450,-73.906735,8,
24,40.904156,-73.905008,9,
24,40.901731,-73.906134,10,
24,40.903981,-73.914126,11,
24,40.903981,-73.914126,12,
26,41.354222,-72.093229,1,
26,41.300395,-72.376792,2,
26,41.288787,-72.448450,3,
26,41.2795,-72.528305,4,
26,41.283676,-72.599545,5,
26,41.275839,-72.673638,6,
26,41.274589,-72.817265,7,
26,41.304979,-72.921747,8,
26,41.304979,-72.921747,9,
26,41.296501,-72.928290,10,
26,41.296501,-72.928290,11,
28,41.192009,-73.959017,1,
28,41.157663,-73.869281,2,
28,41.157663,-73.869281,3,
30,40.893613,-73.907969,1,
30,40.889136,-73.908377,2,
30,40.885908,-73.906993,3,
30,40.880465,-73.910544,4,
30,40.889769,-73.912894,5,
30,40.887011,-73.911842,6,
30,40.886127,-73.9124,7,
30,40.884732,-73.914546,8,
30,40.881836,-73.917936,9,
30,40.881049,-73.919170,10,
30,40.879135,-73.916842,11,
30,40.878245,-73.921455,12,
30,40.878245,-73.921455,13,
32,41.500896,-74.005419,1,
32,41.504007,-73.984528,2,
32,41.504007,-73.984528,3,
33,41.396363,-73.450163,1,
33,41.376225,-73.418171,2,
33,41.325684,-73.4338,3,
33,41.267630,-73.441421,4,
33,41.216620,-73.426703,5,
33,41.196202,-73.432434,6,
33,41.143382,-73.427917,7,
33,41.096730,-73.421132,8,
33,41.077456,-73.445527,9,
33,41.076913,-73.472966,10,
33,41.069041,-73.497880,11,
33,41.046611,-73.542846,12,
33,41.033817,-73.565859,13,
33,41.031682,-73.588173,14,
33,41.030171,-73.598306,15,
33,41.021277,-73.624621,16,
33,41.000732,-73.6647,17,
33,40.986027,-73.680461,18,
33,40.969432,-73.712964,19,
33,40.954061,-73.736125,20,
33,40.933394,-73.759792,21,
33,40.911605,-73.783807,22,
33,40.910321,-73.810242,23,
33,40.912161,-73.832185,24,
33,40.8615,-73.890580,25,
33,40.805157,-73.939149,26,
33,40.752998,-73.977056,27,
36,41.354222,-72.093229,1,
36,41.300395,-72.376792,2,
36,41.288787,-72.448450,3,
36,41.2795,-72.528305,4,
36,41.283676,-72.599545,5,
36,41.275839,-72.673638,6,
36,41.274589,-72.817265,7,
36,41.304979,-72.921747,8,
36,41.296501,-72.928290,9,
38,40.893613,-73.907969,1,
38,40.889136,-73.908377,2,
38,40.885908,-73.906993,3,
38,40.880465,-73.910544,4,
38,40.889769,-73.912894,5,
38,40.887011,-73.911842,6,
38,40.886127,-73.9124,7,
38,40.884732,-73.914546,8,
38,40.881836,-73.917936,9,
38,40.881049,-73.919170,10,
38,40.879135,-73.916842,11,
38,40.878245,-73.921455,12,
40,40.912483,-73.902583,1,
40,40.910148,-73.903216,2,
40,40.910221,-73.896629,3,
40,40.907521,-73.896543,4,
40,40.905112,-73.896435,5,
40,40.905485,-73.900716,6,
40,40.906880,-73.904096,7,
40,40.906450,-73.906735,8,
40,40.904156,-73.905008,9,
40,40.901731,-73.906134,10,
40,40.903981,-73.914126,11,
42,41.500896,-74.005419,1,
42,41.504007,-73.984528,2,
44,41.192009,-73.959017,1,
44,41.157663,-73.869281,2,
