route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color
1,"NJT","","Atlantic City Rail Line",2,"",
2,"NJT","","Montclair-Boonton Line",2,"",
3,"NJT","","Montclair-Boonton Line",2,"",
4,"NJT","","Hudson-Bergen Light Rail",0,"",
5,"NJT","","Main/Bergen County Line",2,"",
6,"NJT","","Port Jervis Line",2,"",
7,"NJT","","Morris & Essex Line",2,"",
8,"NJT","","Gladstone Branch",2,"",
9,"NJT","MNRG","",2,"",
10,"NJT","","Northeast Corridor",2,"",
11,"NJT","","North Jersey Coast Line",2,"",
12,"NJT","","North Jersey Coast Line",2,"",
13,"NJT","","Newark Light Rail",0,"",
14,"NJT","","Pascack Valley Line",2,"",
15,"NJT","","Princeton Shuttle",2,"",
16,"NJT","","Raritan Valley Line",2,"",
17,"NJT","","Riverline Light Rail",0,"",
18,"NJT","","Meadowlands Rail Line",2,"",
