stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
113,95113,"OTISVILLE",,41.471786,-74.529211,6221
114,95114,"PARK RIDGE",,41.032305,-74.036164,2637
115,95115,"PASSAIC",,40.849413,-74.133930,1101
116,95116,"PATERSON",,40.914887,-74.167330,1613
117,95117,"PEAPACK",,40.708794,-74.658469,4685
118,95118,"PEARL RIVER",,41.058181,-74.022317,4941
119,95119,"PERTH AMBOY",,40.509398,-74.273752,3149
120,95120,"PLAINFIELD",,40.618425,-74.420163,2893
121,95121,"PLAUDERVILLE",,40.884916,-74.102695,1357
122,95122,"POINT PLEASANT",,40.092718,-74.048191,5965
123,95123,"PORT JERVIS",,41.374899,-74.694622,6477
124,95124,"PRINCETON",,40.340189,-74.657856,25421
125,95125,"PRINCETON JCT.",,40.316316,-74.623753,4941
126,95126,"RADBURN",,40.939916,-74.121614,1613
127,95127,"RAHWAY",,40.606338,-74.276692,2125
128,95128,"RAMSEY",,41.056422,-74.141877,3149
129,95129,"RARITAN",,40.571007,-74.634364,4429
130,95130,"RED BANK",,40.348284,-74.074538,4685
131,95131,"RIDGEWOOD",,40.980629,-74.120592,2381
132,95132,"RIVER EDGE",,40.935146,-74.029140,1613
134,95134,"RUTHERFORD",,40.828248,-74.100563,845
135,95135,"SALISBURY MILLS-CORNWALL",,41.437073,-74.101871,5453
136,95136,"SHORT HILLS",,40.725249,-74.323754,1869
137,95137,"SLOATSBURG",,41.157138,-74.191307,3917
138,95138,"SOMERVILLE",,40.566075,-74.613970,4429
139,95139,"SOUTH AMBOY",,40.484308,-74.280140,3405
140,95140,"SOUTH ORANGE",,40.745952,-74.260538,1357
141,95141,"SPRING LAKE",,40.150557,-74.035481,5709
142,95142,"SPRING VALLEY",,41.111978,-74.043991,4941
143,95143,"STIRLING",,40.674581,-74.493723,3661
144,95144,"SUFFERN",,41.113540,-74.153442,3661
145,95145,"SUMMIT",,40.716549,-74.357807,2381
146,95146,"TETERBORO",,40.864858,-74.062676,1101
147,95147,"TOWACO",,40.922809,-74.343842,2893
148,95148,"TRENTON TRANSIT CENTER",,40.218515,-74.753926,5709
149,95149,"TUXEDO",,41.194208,-74.184460,3917
150,95150,"UPPER MONTCLAIR",,40.842004,-74.209368,1357
151,95151,"WALDWICK",,41.012734,-74.123412,2637
152,95152,"WALNUT STREET",,40.817218,-74.209630,1357
153,95153,"WATCHUNG AVENUE",,40.829516,-74.206934,1357
154,95154,"WATSESSING AVENUE",,40.782743,-74.198451,1101
155,95155,"WESTFIELD",,40.649448,-74.347629,2125
156,95156,"WESTWOOD",,40.990817,-74.032696,2381
157,95157,"WHITE HOUSE",,40.615613,-74.770660,4941
158,95158,"WOODBRIDGE",,40.556610,-74.277751,2637
159,95159,"WOODCLIFF LAKE",,41.021078,-74.040775,2637
160,95160,"WOOD RIDGE",,40.843974,-74.078719,845
6900,30770,"MILITARY PARK LIGHT RAIL STATION",,40.737449,-74.170883,336
6907,30763,"DAVENPORT AVENUE LIGHT RAIL STATION",,40.772390,-74.178272,336
6957,30767,"NORFOLK AND CENTRAL LIGHT RAIL STATION",,40.745319,-74.183033,336
6966,30765,"PARK AVE NEWARK LIGHT RAIL STATION",,40.758560,-74.184941,336
6995,30768,"WARREN STREET LIGHT RAIL STATION",,40.742439,-74.181183,336
6997,30769,"WASHINGTON STREET LIGHT RAIL STATION",,40.738347,-74.174081,336
9878,30825,"PORT IMPERIAL HBLR STATION",,40.775919,-74.012921,336
14984,30764,"BLOOMFIELD AVE LIGHT RAIL STATION",,40.765460,-74.179863,336
14986,30766,"ORANGE STREET LIGHT RAIL STATION",,40.750629,-74.184951,336
17699,30826,"LINCOLN HARBOR HBLR STATION",,40.761399,-74.024000,336
26316,30762,"BRANCH BROOK PARK STATION",,40.779638,-74.174752,336
26326,30771,"PENN STATION LIGHT RAIL",,40.734810,-74.163603,336
31696,95162,"MONMOUTH PARK",,40.313425,-74.015172,4941
32905,95163,"HAMILTON",,40.255309,-74.704120,5197
32906,95065,"JERSEY AVE.",,40.476912,-74.467363,3661
36994,30833,"EXCHANGE PLACE HBLR STATION",,40.716009,-74.034092,336
36995,30834,"ESSEX STREET HBLR STATION",,40.712838,-74.036082,336
36996,30835,"MARIN BOULEVARD HBLR STATION",,40.714428,-74.043241,336
36997,30836,"JERSEY AVENUE HBLR STATION",,40.714978,-74.048491,336
36998,30837,"LIBERTY STATE PARK PARK-RIDE HBLR",,40.710378,-74.055812,336
36999,30838,"GARFIELD AVENUE HBLR STATION",,40.710509,-74.071120,336
37000,30839,"ML KING DRIVE HBLR STATION",,40.712008,-74.077323,336
37001,30840,"WEST SIDE AVE HBLR STATION",,40.714548,-74.087581,336
37002,30841,"RICHARD STREET HBLR STATION",,40.699118,-74.078643,336
