"service_id","date","exception_type"
"GO502_131","20130903","1"
"GO502_131","20130904","1"
"GO502_131","20130905","1"
"GO502_131","20130906","1"
"GO502_131","20130909","1"
"GO502_131","20130910","1"
"GO502_131","20130911","1"
"GO502_131","20130912","1"
"GO502_131","20130913","1"
"GO502_131","20130916","1"
"GO502_131","20130917","1"
"GO502_131","20130918","1"
"GO502_131","20130919","1"
"GO502_131","20130920","1"
"GO502_131","20130923","1"
"GO502_131","20130924","1"
"GO502_131","20130925","1"
"GO502_131","20130926","1"
"GO502_131","20130927","1"
"GO502_131","20130930","1"
"GO502_131","20131001","1"
"GO502_131","20131002","1"
"GO502_131","20131003","1"
"GO502_131","20131004","1"
"GO502_131","20131007","1"
"GO502_131","20131008","1"
"GO502_131","20131009","1"
"GO502_131","20131010","1"
"GO502_131","20131011","1"
"GO502_131","20131014","1"
"GO502_131","20131015","1"
"GO502_131","20131016","1"
"GO502_131","20131017","1"
"GO502_131","20131018","1"
"GO502_131","20131021","1"
"GO502_131","20131022","1"
"GO502_131","20131023","1"
"GO502_131","20131024","1"
"GO502_131","20131025","1"
"GO502_131","20131028","1"
"GO502_131","20131029","1"
"GO502_131","20131030","1"
"GO502_131","20131031","1"
"GO502_131","20131101","1"
"GO502_131","20131104","1"
"GO502_131","20131105","1"
"GO502_131","20131106","1"
"GO502_131","20131107","1"
"GO502_131","20131108","1"
"GO502_132","20130907","1"
"GO502_132","20130908","1"
"GO502_132","20130914","1"
"GO502_132","20130915","1"
"GO502_132","20130921","1"
"GO502_132","20130922","1"
"GO502_132","20130928","1"
"GO502_132","20130929","1"
"GO502_132","20131005","1"
"GO502_132","20131006","1"
"GO502_132","20131012","1"
"GO502_132","20131013","1"
"GO502_132","20131019","1"
"GO502_132","20131020","1"
"GO502_132","20131026","1"
"GO502_132","20131027","1"
"GO502_132","20131102","1"
"GO502_132","20131103","1"
"GO502_132","20131109","1"
"GO502_132","20131110","1"
"GO502_133","20130907","1"
"GO502_133","20130914","1"
"GO502_133","20130921","1"
"GO502_133","20130928","1"
"GO502_133","20131005","1"
"GO502_133","20131012","1"
"GO502_133","20131019","1"
"GO502_133","20131026","1"
"GO502_133","20131102","1"
