"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"10","GO601_1473","GO601_147630","Huntington","7630","0","93"
"10","GO601_1473","GO601_147631","Penn Station","7631","1","92"
"10","GO601_1473","GO601_147700","Huntington","7700","0","93"
"10","GO601_1473","GO601_147701","Penn Station","7701","1","92"
"10","GO601_1473","GO601_147702","Huntington","7702","0","93"
"10","GO601_1473","GO601_147703","Penn Station","7703","1","92"
"10","GO601_1473","GO601_147704","Huntington","7704","0","93"
"10","GO601_1473","GO601_147705","Penn Station","7705","1","92"
"10","GO601_1473","GO601_147706","Huntington","7706","0","93"
"10","GO601_1473","GO601_147707","Penn Station","7707","1","92"
"10","GO601_1473","GO601_147708","Huntington","7708","0","93"
"10","GO601_1473","GO601_147709","Penn Station","7709","1","92"
"10","GO601_1473","GO601_147710","Huntington","7710","0","93"
"10","GO601_1473","GO601_147711","Penn Station","7711","1","92"
"10","GO601_1473","GO601_147712","Huntington","7712","0","93"
"10","GO601_1473","GO601_147713","Penn Station","7713","1","92"
"10","GO601_1473","GO601_147714","Huntington","7714","0","93"
"10","GO601_1473","GO601_147715","Penn Station","7715","1","92"
"10","GO601_1473","GO601_147716","Huntington","7716","0","93"
"10","GO601_1473","GO601_147717","Penn Station","7717","1","92"
"10","GO601_1473","GO601_147718","Huntington","7718","0","93"
"10","GO601_1473","GO601_147719","Penn Station","7719","1","92"
"10","GO601_1473","GO601_147720","Huntington","7720","0","93"
"10","GO601_1473","GO601_147721","Penn Station","7721","1","92"
"10","GO601_1473","GO601_147722","Huntington","7722","0","93"
"10","GO601_1473","GO601_147723","Penn Station","7723","1","92"
"10","GO601_1473","GO601_147724","Huntington","7724","0","93"
"10","GO601_1473","GO601_147725","Penn Station","7725","1","92"
"10","GO601_1473","GO601_147726","Huntington","7726","0","93"
"10","GO601_1473","GO601_147727","Penn Station","7727","1","92"
"10","GO601_1473","GO601_147728","Huntington","7728","0","93"
"10","GO601_1473","GO601_147729","Penn Station","7729","1","92"
"10","GO601_1473","GO601_147730","Huntington","7730","0","93"
"10","GO601_1473","GO601_147731","Penn Station","7731","1","92"
"10","GO601_1473","GO601_147732","Huntington","7732","0","93"
"10","GO601_1473","GO601_147733","Penn Station","7733","1","92"
"10","GO601_1473","GO601_147734","Huntington","7734","0","93"
"10","GO601_1473","GO601_147735","Penn Station","7735","1","92"
"10","GO601_1473","GO601_147736","Huntington","7736","0","93"
"10","GO601_1473","GO601_147737","Penn Station","7737","1","92"
"10","GO601_1473","GO601_147738","Huntington","7738","0","93"
"10","GO601_1473","GO601_147739","Penn Station","7739","1","92"
"10","GO601_1473","GO601_147740","Huntington","7740","0","93"
"10","GO601_1473","GO601_147742","Huntington","7742","0","93"
"10","GO601_1473","GO601_147743","Penn Station","7743","1","92"
"10","GO601_1473","GO601_147744","Huntington","7744","0","93"
"10","GO601_1473","GO601_147745","Penn Station","7745","1","92"
"10","GO601_1473","GO601_147746","Huntington","7746","0","93"
"10","GO601_1473","GO601_147747","Penn Station","7747","1","92"
"4","GO601_1473","GO601_148000","Ronkonkoma","8000","0","100"
"4","GO601_1473","GO601_148001","Penn Station","8001","1","101"
"4","GO601_1473","GO601_148002","Ronkonkoma","8002","0","100"
"4","GO601_1473","GO601_148003","Penn Station","8003","1","101"
"4","GO601_1473","GO601_148004","Ronkonkoma","8004","0","100"
"4","GO601_1473","GO601_148005","Penn Station","8005","1","101"
"4","GO601_1473","GO601_148006","Ronkonkoma","8006","0","100"
"4","GO601_1473","GO601_148007","Penn Station","8007","1","101"
"4","GO601_1473","GO601_148008","Ronkonkoma","8008","0","100"
"4","GO601_1473","GO601_148009","Penn Station","8009","1","101"
"4","GO601_1473","GO601_148010","Ronkonkoma","8010","0","100"
"4","GO601_1473","GO601_148011","Penn Station","8011","1","101"
"4","GO601_1473","GO601_148012","Ronkonkoma","8012","0","100"
"4","GO601_1473","GO601_148013","Penn Station","8013","1","101"
"4","GO601_1473","GO601_148014","Ronkonkoma","8014","0","100"
"4","GO601_1473","GO601_148015","Penn Station","8015","1","101"
"4","GO601_1473","GO601_148016","Ronkonkoma","8016","0","100"
"4","GO601_1473","GO601_148017","Penn Station","8017","1","101"
"4","GO601_1473","GO601_148018","Ronkonkoma","8018","0","100"
"4","GO601_1473","GO601_148019","Penn Station","8019","1","101"
"4","GO601_1473","GO601_148050","Ronkonkoma","8050","0","100"
"4","GO601_1473","GO601_148051","Penn Station","8051","1","101"
"4","GO601_1473","GO601_148052","Ronkonkoma","8052","0","100"
"4","GO601_1473","GO601_148053","Penn Station","8053","1","101"
"4","GO601_1473","GO601_148054","Ronkonkoma","8054","0","100"
"4","GO601_1473","GO601_148055","Penn Station","8055","1","101"
"4","GO601_1473","GO601_148056","Ronkonkoma","8056","0","100"
"4","GO601_1473","GO601_148057","Penn Station","8057","1","101"
"4","GO601_1473","GO601_148058","Ronkonkoma","8058","0","100"
"4","GO601_1473","GO601_148059","Penn Station","8059","1","101"
"4","GO601_1473","GO601_148060","Ronkonkoma","8060","0","100"
"4","GO601_1473","GO601_148061","Penn Station","8061","1","101"
"4","GO601_1473","GO601_148062","Ronkonkoma","8062","0","100"
"4","GO601_1473","GO601_148063","Penn Station","8063","1","101"
"4","GO601_1473","GO601_148064","Ronkonkoma","8064","0","100"
"4","GO601_1473","GO601_148065","Penn Station","8065","1","101"
"4","GO601_1473","GO601_148066","Ronkonkoma","8066","0","100"
"4","GO601_1473","GO601_148067","Penn Station","8067","1","101"
"4","GO601_1473","GO601_148068","Ronkonkoma","8068","0","100"
"4","GO601_1473","GO601_148069","Penn Station","8069","1","101"
"4","GO601_1473","GO601_148070","Ronkonkoma","8070","0","100"
"4","GO601_1473","GO601_148071","Penn Station","8071","1","101"
"4","GO601_1473","GO601_148072","Ronkonkoma","8072","0","100"
"4","GO601_1473","GO601_148073","Penn Station","8073","1","101"
"4","GO601_1473","GO601_148090","Ronkonkoma","8090","0","100"
"4","GO601_1473","GO601_148091","Penn Station","8091","1","101"
"4","GO601_1473","GO601_148092","Ronkonkoma","8092","0","100"
"4","GO601_1473","GO601_148093","Penn Station","8093","1","101"
"4","GO601_1473","GO601_148094","Ronkonkoma","8094","0","100"
"4","GO601_1473","GO601_148095","Penn Station","8095","1","101"
"5","GO601_1473","GO601_148700","Montauk","8700","0","111"
"5","GO601_1473","GO601_148701","Jamaica","8701","1","120"
"5","GO601_1422","GO601_148702","Montauk","8702","0","122"
"5","GO601_1422","GO601_148703","Jamaica","8703","1","120"
"5","GO601_1473","GO601_148704","Montauk","8704","0","122"
"5","GO601_1424","GO601_148705","Jamaica","8705","1","120"
"5","GO601_1473","GO601_148706","Montauk","8706","0","122"
"5","GO601_1421","GO601_148707","Jamaica","8707","1","158"
"5","GO601_1473","GO601_148709","Jamaica","8709","1","120"
"5","GO601_1473","GO601_148710","Montauk","8710","0","122"
"5","GO601_1421","GO601_148711","Jamaica","8711","1","118"
"5","GO601_1473","GO601_148712","Montauk","8712","0","111"
"5","GO601_1473","GO601_148715","Jamaica","8715","1","120"
"5","GO601_1424","GO601_148717","Penn Station","8717","1","159"
"5","GO601_1473","GO601_148719","Jamaica","8719","1","120"
"5","GO601_1424","GO601_148721","Jamaica","8721","1","120"
"5","GO601_1473","GO601_148730","Speonk","8730","0","123"
"5","GO601_1473","GO601_148731","Jamaica","8731","1","160"
"5","GO601_1473","GO601_148732","Speonk","8732","0","161"
"5","GO601_1473","GO601_148733","Babylon","8733","1","162"
"5","GO601_1473","GO601_148735","Babylon","8735","1","162"
"5","GO601_1422","GO601_148736","Speonk","8736","0","161"
"5","GO601_1473","GO601_148737","Babylon","8737","1","162"
"5","GO601_1473","GO601_148738","Speonk","8738","0","161"
"5","GO601_1473","GO601_148739","Babylon","8739","1","162"
"5","GO601_1473","GO601_148740","Speonk","8740","0","123"
"5","GO601_1473","GO601_148742","Speonk","8742","0","161"
"5","GO601_1473","GO601_148743","Jamaica","8743","1","160"
"5","GO601_1473","GO601_148745","Jamaica","8745","1","160"
"5","GO601_1422","GO601_148760","Patchogue","8760","0","136"
